dict,dim_id,dim_name,convention_question,candidate_options,evidence,examples,VALUE,confidence,notes
WIL,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.007 (M+stop 14 vs homorganic 1914),M: antaHsaMjYA arGasaMKyApana arTasaMgraha idaMkAryyA  ||  homorg: aMhriskanDa akaRwaka akampita akARqa,,,
WIL,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 43, -vat 60, -mat 21",-at: aMSayat anyat ayugapat  |  -vat: akzavat aGavat atraBavat  |  -mat: aMSumat agnimat abudDimat,,,
WIL,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 94 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa oM  ||  n/m-root: agni aGna atnu ana,,,
WIL,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 80, nom-A 201, -ar/-R 1",stem-f: aMSayitf aMSuBartf acalaBrAtf  |  nom-A: akiYcanatA akftajYatA akzamatA  |  -ar/R: antar,,,
WIL,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 6, -yas 9",-vas: anASvas avidvas azwaSravas Iyivas  ||  -yas: aRIyas ayas arTagarIyas alpavayas,,,
YAT,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.026 (M+stop 51 vs homorganic 1913),M: atimaMgalya anaBizvaMga anahaMkAra anahaMkfta  ||  homorg: aMhriskanDa akaRwaka akampita akARqa,,,
YAT,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 25, -vat 67, -mat 20",-at: at anyat ayugapat  |  -vat: akzavat aGavat atraBavat  |  -mat: aMSumat agnimat anyAyavfttimat,,,
YAT,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 106 (M-form 4+, n/m-form 4+)",M-root: aMSa aMSu aMsa AM  ||  n/m-root: agni aGna aGnA atnu,,,
YAT,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 79, nom-A 161, -ar/-R 2",stem-f: aMSayitf aMSuBarttf acalaBrAtf  |  nom-A: akiYcanatA akftajYatA akzamatA  |  -ar/R: antar kmar,,,
YAT,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 7, -yas 11",-vas: anASvas azwaSravas IkzaRaSravas Iyivas  ||  -yas: aRIyas ayas arTagarIyas alpavayas,,,
GST,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.001 (M+stop 1 vs homorganic 1202),M: anuvAkasaMKyA  ||  homorg: aMhriskanDa akaRwaka akampita akARqa,,,
GST,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 70, -vat 61, -mat 16",-at: at adat aditsat  |  -vat: aMSavat aMsavat aMhasvat  |  -mat: aMSumat agnimat aYjimat,,,
GST,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 50 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: akna agni ajma atna,,,
GST,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 71, nom-A 118, -ar/-R 4",stem-f: aMSuBartf agnihotf aNgIkf  |  nom-A: akalkatA akiYcanatA akulatA  |  -ar/R: antar apunar aBiprAtar,,,
GST,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 12, -yas 8",-vas: atravas adASvas aDyUzivas anASvas  ||  -yas: aRIyas atavyas advayas anukanIyas,,,
BEN,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.068 (M+stop 120 vs homorganic 1642),M: akiMcitkara anusaMDAna anoMkfta aparasparasaMBUta  ||  homorg: aMSumant agnimant aNk aNka,,,
BEN,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 12, -vat 23, -mat 1",-at: at Izat cat  |  -vat: aBItavat arTavat aSrutavat  |  -mat: mat,,,
BEN,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 590 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: agni an ana anas,,,
BEN,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 210, nom-A 369, -ar/-R 11",stem-f: attf aDigoptf aDizWAtf  |  nom-A: akalkatA akAmatA akulatA  |  -ar/R: antar usar kmar,,,
BEN,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 9, -yas 9",-vas: avas kftvas javas tavas  ||  -yas: ayas kfzRAyas trayas payas,,,
MW72,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.001 (M+stop 1 vs homorganic 1248),M: asaMjYa  ||  homorg: akaRwaka akampita akampya akARqa,,,
MW72,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 138, -vat 27, -mat 4",-at: akrIqat akziyat aGnat  |  -vat: akapIvat akzaRvat ajIvat  |  -mat: aSrImat utkrAmat udanimat,,,
MW72,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 179 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: akna agni ajma atna,,,
MW72,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 228, nom-A 22, -ar/-R 44",stem-f: aMSayitf akartf aNgIkf  |  nom-A: aktA acintA acCuptA  |  -ar/R: atikzar aticar atitvar,,,
MW72,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 34, -yas 26",-vas: acikitvas ajaGnivas ajavas atravas  ||  -yas: agastayas aRIyas atavyas atyas,,,
LRV,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.565 (M+stop 1137 vs homorganic 875),M: aMhriskaMDa akiMcana akiMcanA akiMcitkara  ||  homorg: akaRwaka akaRwakA akalyasanDa akARqa,,,
LRV,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 17, -vat 23, -mat 11",-at: ajahat at adat  |  -vat: aMhasvat atraBavat anAtmavat  |  -mat: aMSumat arcizmat asumat,,,
LRV,5,Anusvāra of verbs,Are nasal verbal roots cited with anusvāra (aMS) or the dental/labial nasal (aMs)?,anusvara | nasal-letter | n.a. (no verb roots),"short nasal roots 125 (M-form 4+, n/m-form 4+)",M-root: aMS aMSa aMSu aMs  ||  n/m-root: agni atnu an anas,,,
LRV,6,ṛkārānta words (ṛ-final agent nouns),"How is an ṛ-stem agent noun (kartṛ) cited — bare stem (SLP1 kartf), nominative (kartA), or with -ar/-ṛ (kartar/kartR)?",stem-f | nominative-A | ar/R,"ṛ-stem(f) 37, nom-A 314, -ar/-R 3",stem-f: aMSuBartf agnidAtf aDogaMtf  |  nom-A: akalitA akftA akzatA  |  -ar/R: antar apunar kiMpunar,,,
LRV,7,"vas/yas suffixes (perfect ppl. -vas, comparative -yas)",How are -vas (perfect participle) and -yas (comparative) stems cited / spelled?,see Patel 2016 — assign from -vas / -yas examples,"-vas 4, -yas 12",-vas: azwakftvas azwaSravas uccEHSravas katikftvas  ||  -yas: ativayas anukanIyas aprAptavayas ayas,,,
AP90,1,Anusvāra before consonants,"When a nasal precedes a stop inside a word, is it written as anusvāra (SLP1 M: aMka, saMskAra) or as the homorganic nasal (aNka, saMskAra→saNskAra)?",anusvara | homorganic | mixed,anusvāra-share=0.999 (M+stop 1452 vs homorganic 1),M: akaMpana akaMpita akAMqa akAMqe  ||  homorg: aBiyAYcA,,,
AP90,3,Words ending with -at (śatṛ / vatup-matup),"How are present participles in -at and possessives in -vat/-mat cited (bare -at stem, or with further marking)? Patel: 5 options across 3+2 sub-conventions.",see Patel 2016 — assign from -at / -vat / -mat examples,"-at 59, -vat 81, -mat 33",-at: akziyat aMkUyat ajarat  |  -vat: aMhasvat akzaRvat agnivat  |  -mat: aMSumat agnimat anAdimat,,,
