convention,option,definition,member_dicts
1,1.1,internal nasal → anusvāra (AP90),AP90
1,1.2,internal nasal → fifth letter of varga (homorganic),ACC AP BEN BHS BOP BUR CAE CCS GRA GST IEG INM MCI MD MW MW72 PD PE PGN PUI PW PWG SCH SHS SKD SNP STC VCP VEI WIL YAT
1,1.3,final anusvāra denotes neuter gender,AP90 SKD
1,1.4,final anusvāra denotes avyaya (where म् expected),YAT
1,1.5,compound-final म् + jhar-initial 2nd member → anusvāra,ACC AP AP90 BEN BHS CAE CCS MCI MD PD PW PWG SCH STC VEI WIL
1,1.6,compound-final म् → fifth letter of varga,BOP BUR GRA GST IEG INM KRM MW72 PGN PUI SKD VCP YAT
2,2.1,duplication after r in all cases (pūrvva),SKD WIL
2,2.2,no duplication (pūrva),ACC AP AP90 BEN BHS BOP BUR CAE CCS GRA GST IEG INM KRM MCI MD MW MW72 PD PE PGN PUI PW PWG SCH SNP STC VCP VEI
3,3.1,śatṛ → -at (gacchat),AP AP90 BOP BUR GRA GST MD MW MW72 PD SHS VCP WIL YAT
3,3.2,śatṛ → -ant (…gacchant),BEN BHS CAE CCS PW PWG SCH STC VEI
3,3.3,śatṛ → -an (paśyan),SKD
3,3.4,vatup/matup → -vat/-mat (bhagavat),ACC AP AP90 BOP BUR GRA GST IEG INM MCI MD MW PD SHS VCP WIL YAT
3,3.5,vatup/matup → -vant/-mant (bhagavant),BEN BHS CAE CCS PW PWG SCH STC
4,4.1,"inflected (nom. sg., dharmaḥ)",AP AP90 SKD
4,4.2,uninflected stem (dharma),BEN BHS BOP BUR CAE CCS GRA GST IEG INM MCI MD MW MW72 PD PE PGN PUI PW PWG SCH SHS SNP STC VCP VEI WIL YAT
5,5.1,verbs as in Dhātupāṭha,KRM PD SKD VCP WIL
5,5.2,remove anubandha + fifth letter,AP BEN BOP BUR CAE CCS GRA GST MD MW MW72 PD PW PWG SCH SHS STC YAT
5,5.3,"remove anubandha, keep anusvāra (AP90)",AP90
6,6.1,ṛ-stem → -ar (kartar),BHS CCS PW PWG SCH
6,6.2,ṛ-stem → -ṛ (kartṛ),ACC AP AP90 BEN BOP BUR CAE GRA GST IEG INM MD MW MW72 PD SHS STC VCP VEI WIL YAT
6,6.3,ṛ-stem → -ā inflected (kartā),PUI SKD
7,7.1,-vas/-yas (vidvas),AP AP90 BOP BUR CCS GRA GST INM MCI MD MW MW72 PD PE SHS VCP WIL YAT
7,7.2,-vāṃs/-yāṃs,BHS STC
7,7.3,-vān/-yān (vidvān),PUI SKD
7,7.4,-vaṃs/-yaṃs,CAE PW PWG SCH
2,2.1+2.2,INCONSISTENT (SHS),SHS
2,2.1+2.2,INCONSISTENT (YAT),YAT
4,4.1+4.2,INCONSISTENT (ACC),ACC
