"Book
No.","Citation
count","LS entry
(code)","Total
pages","Literary Source
(Descriptive)",Index Status,"Reserved/
Indexed by",Work started,Work finished,"Directory (index)
[./sanskrit-lexicon/]","Index
posting","Directory (scan pages)
[./sanskrit-lexicon-scans/]","Public
Link","S.
No.",
4a,10494.0,Spr. vol.1 (1st ed.),345.0,Indische Sprüche V.1,done,@Azanuka2412,2025-01-30 00:00:00,2025-02-01 00:00:00,PWG/issues/87,2025-02-01 00:00:00,boesp1,2025-02-20 00:00:00,1.0,
4b,- - -,Spr. vol.2 (1st ed.),377.0,Indische Sprüche V.2,done,@sofia28000,2025-01-30 00:00:00,2025-02-07 00:00:00,PWG/issues/87,2025-02-07 00:00:00,boesp1,2025-02-20 00:00:00,2.0,
4c,- - -,Spr. vol.3 (1st ed.),420.0,Indische Sprüche V.3,done,@angalinde,2025-01-30 00:00:00,2025-01-31 00:00:00,PWG/issues/87,2025-02-01 00:00:00,boesp1,2025-02-20 00:00:00,3.0,
6.0,3794.0,YĀJÑ.,316.0,YĀJÑAVALKYA'S Gesetzbuch,done,@OFar0101,2025-02-10 00:00:00,2025-02-13 00:00:00,PWG/issues/98,2025-02-13 00:00:00,yajnavalkya,2025-02-24 00:00:00,4.0,
1a,8752.0,RAGH.,385.0,RAGHUVAM̃SA 1832 Stenzler ed.,done,@grigoriyt1,2025-01-29 00:00:00,2025-01-30 00:00:00,PWG/issues/100,2025-02-21 00:00:00,raghuvamsa,2025-02-27 00:00:00,5.0,
5.0,3860.0,SĀH. D.,497.0,SĀHITYADARPAṆA,done,@Azanuka2412,2025-02-12 00:00:00,2025-02-23 00:00:00,PWG/issues/101,2025-02-23 00:00:00,sahityadarpana,2025-03-01 00:00:00,6.0,
9.0,3446.0,N.,459.0,NALOPĀKHYĀNA in B. Ch.,done,@angalinde,2025-02-10 00:00:00,2025-02-10 00:00:00,PWG/issues/93,2025-02-10 00:00:00,bchrest1,2025-03-05 00:00:00,7.0,
*10,1127.0,VID.,- - -,(Same book as 9 above) Geschichte des VIDŪṢAKA in B. Ch.,done,@angalinde,2025-02-12 00:00:00,2025-02-12 00:00:00,PWG/issues/97,2025-02-12 00:00:00,bchrest1,2025-03-05 00:00:00,8.0,
*11,413.0,DAŚ.,- - -,(Same book as 9 above) DAŚARATHA'S Tod in B. Ch.,done,@angalinde,2025-02-12 00:00:00,2025-02-12 00:00:00,PWG/issues/96,2025-02-12 00:00:00,bchrest1,2025-03-05 00:00:00,9.0,
*12,370.0,VIŚV.,- - -,(Same book as 9 above) VIŚVĀMITRA'S Kampf in B. Ch.,done,@angalinde,2025-02-12 00:00:00,2025-02-12 00:00:00,PWG/issues/95,2025-02-12 00:00:00,bchrest1,2025-03-05 00:00:00,10.0,
28.0,5149.0,VOP.,489.0,"VOPADEVA'S Grammatik, Bohtlingk",done,@angalinde,2025-02-27 00:00:00,2025-02-28 00:00:00,PWG/issues/110,2025-02-28 00:00:00,mugdhabodha,2025-03-05 00:00:00,11.0,
13.0,16148.0,H.,465.0,HEMACANDRA'S ABHIDHĀNACINTĀMAṆI : Bohtlingk,done,@IrinaKonstant (@195629012025),2025-02-13 00:00:00,2025-02-25 00:00:00,PWG/issues/104,2025-02-26 00:00:00,abch2,2025-03-09 00:00:00,12.0,
*14,1301.0,H. ś.,- - -,(Same book as 13 above) die Śeṣa zu HEMACANDRA'S ABHIDHĀNACINTĀMAṆI,done,@IrinaKonstant (@195629012025),2025-02-25 00:00:00,2025-02-26 00:00:00,PWG/issues/104,2025-02-27 00:00:00,abch2,2025-03-09 00:00:00,13.0,
16.0,12990.0,MED.,601.0,MEDINĪKOṢA 1807 Calc. ed.,done,@OFar0101,2025-02-17 00:00:00,2025-02-26 00:00:00,PWG/issues/105,2025-02-26 00:00:00,medini,2025-03-09 00:00:00,14.0,
*17,8426.0,TRIK.,- - -,(Same book as 16 above) TRIKĀṆḌAŚEṢA 1807 ed. Calc.,done,@OFar0101,2025-02-17 00:00:00,2025-02-27 00:00:00,PWG/issues/105,2025-02-27 00:00:00,medini,2025-03-09 00:00:00,15.0,
