lemma,shared_ref,source_dict,inheritor,corpus_lemmas_with_ref
ABarita,HARIV. 855,PWG,MW,1
Buvas,HARIV. 11506,PWG,MW,1
CAgala,HARIV. 3275,PWG,MW,1
CAndasa,HARIV. 12284,PWG,MW,1
Cedin,HARIV. 15880,PWG,MW,1
DArin,HARIV. 11986,PWG,MW,1
DArzRaka,HARIV. 642,PWG,MW,1
Dana,HARIV. 3886,PWG,MW,1
DaraRIBft,HARIV. 13616,PWG,MW,1
DaraRIDft,HARIV. 6766,PWG,MW,1
Dvaja,HARIV. 9245,PWG,MW,1
GAwa,HARIV. 16117,PWG,MW,1
GaRwAkarRa,HARIV. 14630,PWG,MW,1
GanIBUta,HARIV. 3484,PWG,MW,1
GarmAnta,HARIV. 10130,PWG,MW,1
Gaww,HARIV. 6473,PWG,MW,1
GftaDArA,HARIV. 12411,PWG,MW,1
GrA,HARIV. 7059,PWG,MW,1
GrARatarpaRa,HARIV. 3710,PWG,MW,1
Jilli,HARIV. 3497,PWG,MW,1
KawvANga,HARIV. 808,PWG,MW,1
KawvANgavana,HARIV. 4171,PWG,MW,1
aSruta,HARIV. 6190,PWG,MW,1
aSvaSakft,HARIV. 6445,PWG,MW,1
ahInagu,HARIV. 825,PWG,MW,1
amfta,HARIV. 14095,PWG,MW,1
aridAnta,HARIV. 6628,PWG,MW,1
avaDAraRIya,HARIV. 6252,PWG,MW,1
avanAmin,HARIV. 4947,PWG,MW,1
avantipura,HARIV. 4906,PWG,MW,1
azwAraTa,HARIV. 1744,PWG,MW,1
bisa,HARIV. 15445,PWG,MW,1
cAkrika,HARIV. 9047,PWG,MW,1
cAkzuza,HARIV. 279,PWG,MW,1
cAritra,HARIV. 10204,PWG,MW,1
cAturakza,HARIV. 6746,PWG,MW,1
cAturvidya,HARIV. 9769,PWG,MW,1
cakra,HARIV. 652,PWG,MW,1
cakraDara,HARIV. 10999,PWG,MW,1
cakracArin,HARIV. 3494,PWG,MW,1
cal,HARIV. 2697,PWG,MW,1
car,HARIV. 3602,PWG,MW,1
caraRa,HARIV. 3914,PWG,MW,1
caturTAMSa,HARIV. 9690,PWG,MW,1
caturaSra,HARIV. 12378,PWG,MW,1
caturmuKa,HARIV. 10630,PWG,MW,1
caturmuKa,HARIV. 12344,PWG,MW,1
caturveda,HARIV. 7993,PWG,MW,1
ced,HARIV. 11895,PWG,MW,1
cezwa,HARIV. 5939,PWG,MW,1
cikIrzA,HARIV. 4907,PWG,MW,1
cint,HARIV. 14675,PWG,MW,1
cira,HARIV. 9942,PWG,MW,1
citi,HARIV. 2227,PWG,MW,1
citra,HARIV. 9062,PWG,MW,1
citrapawa,HARIV. 16001,PWG,MW,1
citrapawwa,HARIV. 10069,PWG,MW,1
citraraTa,HARIV. 1971,PWG,MW,1
citrasTa,HARIV. 7919,PWG,MW,1
citrasena,HARIV. 7224,PWG,MW,1
citrayoDin,HARIV. 6867,PWG,MW,1
cozya,HARIV. 8255,PWG,MW,1
dA,HARIV. 15782,PWG,MW,1
dASArha,HARIV. 6810,PWG,MW,1
dIrGAyuzwva,HARIV. 886,PWG,MW,1
daDyuttara,HARIV. 4216,PWG,MW,1
daMzwrin,HARIV. 12496,PWG,MW,1
daRqasena,HARIV. 1070,PWG,MW,1
dah,HARIV. 7040,PWG,MW,1
dah,HARIV. 15523,PWG,MW,1
dakza,HARIV. 101,PWG,MW,1
dakziRApaTika,HARIV. 6144,PWG,MW,1
dakziRa,HARIV. 12390,PWG,MW,1
darSana,HARIV. 1285,PWG,MW,1
darSana,HARIV. 5460,PWG,MW,1
devasaMgItayonin,HARIV. 4347,PWG,MW,1
diSApAla,HARIV. 273,PWG,MW,1
duHsADya,HARIV. 16132,PWG,MW,1
dvijapati,HARIV. 12491,PWG,MW,1
ekadeha,HARIV. 2532,PWG,MW,1
gAnDarva,HARIV. 16291,PWG,MW,1
gORya,HARIV. 5907,PWG,MW,1
gaya,HARIV. 870,PWG,MW,1
giripura,HARIV. 5161,PWG,MW,1
girivraja,HARIV. 6598,PWG,MW,1
go,HARIV. 1601,PWG,MW,1
go,HARIV. 2943,PWG,MW,1
go,HARIV. 986,PWG,MW,1
goDana,HARIV. 3515,PWG,MW,1
golaka,HARIV. 15549,PWG,MW,1
goloka,HARIV. 3994,PWG,MW,1
gopatA,HARIV. 3302,PWG,MW,1
goyajYa,HARIV. 3851,PWG,MW,1
grAmyaDarma,HARIV. 1259,PWG,MW,1
graT,BHĀRADV,PWG,MW,1
grahaRa,HARIV. 2734,PWG,MW,1
granTakAra,VEDĀNTAS. 1,PWG,MW,1
guggula,HARIV. 6283,PWG,MW,1
guha,HARIV. 10478,PWG,MW,1
jAmadagnya,HARIV. 2313,PWG,MW,1
jAmbUnada,HARIV. 13099,PWG,MW,1
jAmbUnadamaya,HARIV. 6918,PWG,MW,1
jArUTya,HARIV. 2344,PWG,MW,1
jEgIzavya,HARIV. 952,PWG,MW,1
jIvin,HARIV. 4555,PWG,MW,1
jaGanya,HARIV. 5817,PWG,MW,1
jagadguru,HARIV. 15699,PWG,MW,1
jagadyoni,HARIV. 5880,PWG,MW,1
jagannATa,HARIV. 14394,PWG,MW,1
jalADipa,HARIV. 13885,PWG,MW,1
jaladevatA,HARIV. 13140,PWG,MW,1
jalaja,HARIV. 10936,PWG,MW,1
jalatA,HARIV. 2932,PWG,MW,1
jamBa,HARIV. 13227,PWG,MW,1
janArdana,HARIV. 15397,PWG,MW,1
janacakzus,HARIV. 8050,PWG,MW,1
janaka,HARIV. 982,PWG,MW,1
janamejaya,HARIV. 1608,PWG,MW,1
janamejaya,HARIV. 1671,PWG,MW,1
janitra,HARIV. 14730,PWG,MW,1
janman,HARIV. 15718,PWG,MW,1
jantu,HARIV. 1793,PWG,MW,1
javanikA,HARIV. 4648,PWG,MW,1
jayASis,HARIV. 3784,PWG,MW,1
jaya,HARIV. 13093,PWG,MW,1
jaya,HARIV. 1514,PWG,MW,1
jayaDvaja,HARIV. 1893,PWG,MW,1
jayadraTa,HARIV. 1703,PWG,MW,1
jayatsena,HARIV. 6725,PWG,MW,1
jihIrzu,HARIV. 14248,PWG,MW,1
jyAyizWa,HARIV. 7265,PWG,MW,1
jyEzWa,HARIV. 7828,PWG,MW,1
jyezWatA,HARIV. 7164,PWG,MW,1
kASyapa,HARIV. 10645,PWG,MW,1
kAYcanezuDi,HARIV. 1683,PWG,MW,1
kAlAmra,HARIV. 8653,PWG,MW,1
kApaTa,HARIV. 14287,PWG,MW,1
kArzRi,HARIV. 9209,PWG,MW,1
kESava,HARIV. 15377,PWG,MW,1
karzaRIya,HARIV. 14459,PWG,MW,1
