metric_id,value,unit,population,as_of,source,status,caveat
ORG-REPOS-API,78,repositories,repositories returned by the legacy June 2026 GitHub organisation snapshot,2026-06-01,data/summary.json,verified,Not the same population as transformed activity tables.
ORG-REPOS-TRANSFORMED,76,repositories,repositories represented in the transformed June 2026 activity tables,2026-06,data/manifest.json,verified,Use for denominators derived from data/repos.csv.
ORG-ISSUE-PR-ROWS,5413,issue-or-pull-request rows,transformed GitHub issue and pull-request records,2026-06,data/manifest.json,verified,"A record count, not the sum of the legacy summary's separately fetched totals."
ORG-HUMAN-COMMIT-IDS,16,normalized Git identities,non-bot logins in the committed contributor snapshot after maintainer-reviewed bot overrides,2026-06,observatory/site/src/data/contributor_identity.csv,verified,Git identities are neither all historical participants nor OBS-T correction submitters.
ORG-BF1-REPOS,67,repositories,repositories with bus factor 1 among 76 repositories with human contribution rows,2026-06,observatory/site/src/data/bus_factor.csv,verified,GitHub contribution counts; automation excluded through the curated identity map.
OBST-EVENTS,52498,correction events,OBS-T form and git layers,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,"Documented events, not an exhaustive history of every edit."
OBST-DICTIONARIES,43,dictionaries,dictionaries represented in OBS-T,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,One fewer than the current collection inventory.
OBST-CORRECTOR-IDS,208,corrector labels,distinct release-safe corrector identities/labels in OBS-T,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,Do not describe these labels as 208 people without identity adjudication.
OBST-DERIVED-PCT,64.3,percent,OBS-T events whose component was derived rather than left inferred/unattributed,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,"A provenance proportion, not an accuracy score."
OBSQ-MAX-ANNUAL-CORRECTORS,5,correctors per year,"content-correction commit authors in csl-orig, 2019–2026",2026,observatory/site/src/data/obs_q_annual.csv,verified,"Measures implementers in git history, not form-era submitters."
OBSQ-LEAD-SHARE-RANGE,64–100,percent,"annual lead corrector share of csl-orig content-correction commits, 2019–2026",2026,observatory/site/src/data/obs_q_annual.csv,verified,Annual concentration range; not a share of all project labour.
CDSL-DICTIONARIES,44,dictionary/reference works,current CDSL collection inventory,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/FEATURES_INDEX.md,done,Collection count includes reference works; OBS-T covers 43.
CDSL-UNION-HW,323425,normalized headwords,union over the fifteen-dictionary comparison set,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/HeadwordLists/union/union_headwords.tsv,done,Not a union over all 44 works.
CDSL-MARKUP,96 tags / 17.5M hits,tag inventory and instances,markup census over the collection,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/data/markup_tag_census.tsv,done,The rounded 17.5M display is not an exact instance count.
CDSL-CITATIONS,828505 citations -> 912 texts,citation instances and canonical texts,dictionaries with usable <ls> citation markup,2026-07-12,https://github.com/sanskrit-lexicon/csl-atlas/tree/main/data/citations,done,Only tagged/canonicalisable citations are represented.
