metric_id,value,unit,population,as_of,source,status,caveat
ORG-REPOS-API,78,repositories,repositories returned by the legacy June 2026 GitHub organisation snapshot,2026-06-01,data/summary.json,verified,Not the same population as transformed activity tables.
ORG-REPOS-TRANSFORMED,76,repositories,repositories represented in the transformed June 2026 activity tables,2026-06,data/manifest.json,verified,Use for denominators derived from data/repos.csv.
ORG-ISSUE-PR-ROWS,5413,issue-or-pull-request rows,transformed GitHub issue and pull-request records,2026-06,data/manifest.json,verified,"A record count, not the sum of the legacy summary's separately fetched totals."
ORG-HUMAN-COMMIT-IDS,16,normalized Git identities,non-bot logins in the committed contributor snapshot after maintainer-reviewed bot overrides,2026-06,observatory/site/src/data/contributor_identity.csv,verified,Git identities are neither all historical participants nor OBS-T correction submitters.
ORG-BF1-REPOS,67,repositories,repositories with bus factor 1 among 76 repositories with human contribution rows,2026-06,observatory/site/src/data/bus_factor.csv,verified,GitHub contribution counts; automation excluded through the curated identity map.
OBST-EVENTS,52498,correction events,OBS-T form and git layers,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,"Documented events, not an exhaustive history of every edit."
OBST-DICTIONARIES,43,dictionaries,dictionaries represented in OBS-T,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,One fewer than the current collection inventory.
OBST-CORRECTOR-IDS,208,corrector labels,distinct release-safe corrector identities/labels in OBS-T,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,Do not describe these labels as 208 people without identity adjudication.
OBST-DERIVED-PCT,64.3,percent,OBS-T events whose component was derived rather than left inferred/unattributed,2026-05-30,observatory/site/src/data/obs_t_summary.json,verified,"A provenance proportion, not an accuracy score."
OBSQ-MAX-ANNUAL-CORRECTORS,5,correctors per year,"content-correction commit authors in csl-orig, 2019–2026",2026,observatory/site/src/data/obs_q_annual.csv,verified,"Measures implementers in git history, not form-era submitters."
OBSQ-LEAD-SHARE-RANGE,64–100,percent,"annual lead corrector share of csl-orig content-correction commits, 2019–2026",2026,observatory/site/src/data/obs_q_annual.csv,verified,Annual concentration range; not a share of all project labour.
CDSL-DICTIONARIES,44,dictionary/reference works,current CDSL collection inventory,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/FEATURES_INDEX.md,verified,Collection count includes reference works; OBS-T covers 43; stats-census workflow status is done.
CDSL-UNION-HW,323425,normalized headwords,union over the fifteen-dictionary comparison set,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/HeadwordLists/union/union_headwords.tsv,verified,Not a union over all 44 works; stats-census workflow status is done.
CDSL-MARKUP,96 tags / 17.5M hits,tag inventory and instances,markup census over the collection,2026-07-12,https://github.com/gasyoun/SanskritLexicography/blob/master/data/markup_tag_census.tsv,done,The rounded 17.5M display is not an exact instance count.
CDSL-CITATIONS,828505 citations -> 912 texts,citation instances and canonical texts,dictionaries with usable <ls> citation markup,2026-07-12,https://github.com/sanskrit-lexicon/csl-atlas/tree/main/data/citations,verified,Only tagged/canonicalisable citations are represented; stats-census workflow status is done.
M10-PAIRWISE-PAIRS,105,dictionary pairs,all unordered pairs among the fifteen-dictionary union set,2026-07-12,sibling:SanskritLexicography/data/headword_overlap_matrix.tsv,verified,Method: count matrix rows; equivalently 15 choose 2.
M10-BHS-UNIQUE-PCT,58.7,percent,BHS normalized headwords unique within the fifteen-dictionary set,2026-07-12,sibling:SanskritLexicography/data/headword_unique_counts.tsv,verified-rounded,"10,434 / 17,761 = 58.75%; manuscript rounds to one decimal."
M10-CCS-UNIQUE-PCT,0.6,percent,CCS normalized headwords unique within the fifteen-dictionary set,2026-07-12,sibling:SanskritLexicography/data/headword_unique_counts.tsv,verified-rounded,"178 / 28,743 = 0.62%; manuscript rounds to one decimal."
M10-MW-PWG-SHARED,94753,normalized headwords,MW/PWG intersection in the fifteen-dictionary matrix,2026-07-12,sibling:SanskritLexicography/data/headword_overlap_matrix.tsv,verified,Method: read the unique MW-PWG matrix row; matrix uses normalized k1 headwords.
M10-MW-HEADWORDS-CURRENT,193852,normalized headwords,MW headwords in the fifteen-dictionary matrix,2026-07-12,sibling:SanskritLexicography/data/headword_unique_counts.tsv,verified-current,"A former draft's unexplained 168,633 population was removed; this current total is not retained in A61."
M10-PWG-HEADWORDS-CURRENT,106054,normalized headwords,PWG headwords in the fifteen-dictionary matrix,2026-07-12,sibling:SanskritLexicography/data/headword_unique_counts.tsv,verified-current,"A former draft's 106,169 total was removed; this current total is not retained in A61."
M10-ENTRY-LENGTH-BLOCK,110;245;30000;15%;819,"characters, entries, percent",claimed MW/PWG entry-length comparison,unknown,none located,unsupported,"No committed local source, method, or cutoff was found; soften or delete the entire block."
M10-CITATION-OVERLAP-BLOCK,485;330;41.6%,source abbreviations and percent,claimed MW/PWG source/locus overlap,unknown,none located,unsupported,"Not the 828,505-edge canonical citation graph; soften or delete unless the older computation is recovered."
M10-ETYMO-DICTS,10,dictionaries,dictionaries represented in the etymology oracle,2026-06-26,sibling:csl-atlas/src/data/etymology-oracle.json,verified,Method: dictionaryCount in the frozen JSON.
M10-ETYMO-ROWS-CURRENT,67172,etymology records,all rows in the ten-dictionary etymology oracle,2026-06-26,sibling:csl-atlas/src/data/etymology-oracle.json,verified-current,"The former 62,558 figure was removed; the current source reports 64,896 headwords with roots and 67,172 rows, neither retained in A61."
M10-ETYMO-AGREEMENT,90–100,percent,claimed indigenous-tradition agreement on shared items,unknown,none located,unsupported,No exact selection rule or local result table was attached; soften to a qualitative statement or cite the method.
M10-MW-ROOTS,750 genuine + 1363 other = 2113,root records,canonical MW root table grouped by verb_type,2026-07-12,sibling:csl-orig/v02/mw/mw_roots.tsv,verified-superseded-manuscript-figure,"The former exact total was removed from A61; 1,363 is only the non-genuineroot class and the current total is 2,113."
M10-HERITAGE-CROSSWALK,185803 total;25140 covered;24549 anchors;97.65% of covered,MW rows and percent,MW-to-Heritage crosswalk,2026-07-03,sibling:SanskritLexicography/HeadwordLists/mw_heritage_crosswalk.tsv,verified-superseded-manuscript-figure,"Former insufficiently framed exact totals were removed from A61; 25,140 rows are Heritage-covered and 24,549 resolve to anchors."
M10-WHITNEY-HUB-CURRENT,935,Whitney root records,rows in the current MW-Whitney-DCS root crosswalk,2026-07-12,sibling:MWS/root_crosswalk/root_crosswalk.csv,verified-current,The former 939 figure was removed; the current 935-row total is not retained in A61.
A61-HIATUS-ROWS,190,nonblank rows,MW hiatus exception list,CORRECTIONS commit 643fd6df,sibling:CORRECTIONS/nochange/testedfiles/hiatusmw.txt@643fd6df,verified,Method: count nonblank physical rows; 190/190 rows are nonblank data rows.
A61-MW-PRINTCHANGE-ITEMS,137,top-level numbered items,MW print-change audit file,CORRECTIONS commit 643fd6df,sibling:CORRECTIONS/dictionaries/MW/mw_printchange.txt@643fd6df,verified-superseded-manuscript-figure,"Method: regex ^\d+\. over 1,011 physical lines; the former 'over 700 entries' claim was removed from A61."
