event_id,date_start,date_end,event_type,event,actors,places,evidence_tier,source_locator,confidence,publication_targets,status
HIST-1985-CHICAGO,1985,1985,prehistory,A University of Chicago attempt to digitise Sanskrit lexical resources included Monier-Williams but ended for lack of funding.,University of Chicago project,Chicago,published-primary,"Kapp and Malten 1997, CDSL report",high,A61,verified
HIST-1994-FOUNDING,1994,1994,institutional,Thomas Malten initiated CDSL at the University of Cologne.,Thomas Malten; University of Cologne IITS,Cologne; Azhivaikkal,published-primary,"Kapp and Malten 1997, CDSL report",high,A61;A13,verified
HIST-1997-PROGRAMME,1997,1997,programme,Kapp and Malten presented the digitise-and-integrate programme at the 10th World Sanskrit Conference.,Dieter B. Kapp; Thomas Malten,Bangalore,published-primary,"Kapp and Malten 1997, CDSL report",high,A61;A13,verified
HIST-2004-COLLAB,2004,2008,collaboration,"The Cologne, Brown/Sanskrit Library, and Funderburk collaboration converted the project from character-coded text toward XML and a shared correction practice.",Thomas Malten; Peter Scharf; Malcolm Hyman; Jim Funderburk,Cologne; Providence; distributed,archival-attributed,Scharf 2025 review and project files; Cologne call 2026-06-27,medium,A61;A13,verified-attributed
HIST-2008-SLP1,2008,2009,technical,The internal transliteration moved to SLP1 and the XML/markup conventions were documented.,Peter Scharf; Malcolm Hyman; Jim Funderburk; collaborators,distributed,published-and-archival,Scharf and Hyman 2009; May 2008 project materials,high,A61,verified
HIST-2013-DCH,2013,2013,institutional,"After Malten retired, stewardship moved to the University of Cologne Data Center for the Humanities.",Thomas Malten; Felix Rau; University of Cologne DCH,Cologne,institutional-primary,https://dch.phil-fak.uni-koeln.de/sites/dch/Materialien_Aktivitaeten/2016/The_Cologne_Sanskrit_Lexicon_2016-11-11.pdf (timeline); https://cceh.uni-koeln.de/en/portfolio/lazarus/ (2013-12 to 2015-01 project),high,A61;A13,verified
HIST-2014-GITHUB,2014,2014,governance,The sanskrit-lexicon GitHub organisation made issue coordination and version history public.,Mārcis Gasūns; CDSL collaborators,distributed,committed-record,data/issues.csv; GitHub organisation/repository creation records,high,A61;A13,verified
HIST-2019-FIRST-PRS,2019,2019,workflow,Pull requests first appear in the committed organisation activity snapshot; Git and public issues predate this milestone.,sanskrit-lexicon contributors,GitHub,committed-record,data/issues.csv; reports/velocity_timeline.md,high,A61;A13,verified
HIST-2026-SUCCESSION,2026-06-27,2026-06-27,succession,Jim Funderburk publicly announced retirement and described the maintenance succession.,Jim Funderburk; Dhaval Patel; volunteer group,online; Cologne infrastructure,public-oral-history,"Cologne volunteer call recording, 2026-06-27",high,A61;A13,verified-attributed
HIST-EMAIL-TECH,2007,2013,technical-deliberation,"Email evidence may refine the chronology of TEI, merge, headword, and morphology decisions.",CDSL collaborators,distributed,archival-pending,historical email archive to be supplied by the author,pending,A61,evidence_pending
HIST-EMAIL-RIGHTS,2004,2005,rights,Email evidence may document the transition from restricted scan circulation toward later open distribution.,Thomas Malten; Mārcis Gasūns,Cologne; distributed,archival-pending,historical email archive to be supplied by the author,pending,A61;A13,evidence_pending
