openalex_id,title,year,type,venue,doi,confidence_tier,attests,bucket,match_reason,matched_probes,matched_anchors,cited_by_count,url,snapshot,fetched_at
W7164171718,<i>Ear-y fish:</i> shells in two Tocharian B medical prescriptions,2026,article,Bulletin of the School of Oriental and African Studies,https://doi.org/10.1017/s0041977x26101219,C0,print,external,fails domain gate (no Indological/lexicographic signal),gra-title,,0,https://openalex.org/W7164171718,2026-07,2026-07-28
W7131258757,A transdisciplinary framework for managing metabolic dysfunction associated steatotic liver disease,2026,article,Frontiers in Pharmacology,https://doi.org/10.3389/fphar.2026.1767844,C0,print,external,fails domain gate (no Indological/lexicographic signal),ap90-title,,1,https://openalex.org/W7131258757,2026-07,2026-07-28
W7128387249,Annadāna to Ecology: The Ethical and Spiritual Dimensions of Food in Indian Knowledge Systems,2026,article,Edumania-An International Multidisciplinary Journal,https://doi.org/10.59231/edumania/9180,C0,print,external,fails domain gate (no Indological/lexicographic signal),ap90-title,,0,https://openalex.org/W7128387249,2026-07,2026-07-28
W7165517628,Gender discrimination and personal and professional development fostered by allopathic medical schools in the United States,2026,article,PLoS ONE,https://doi.org/10.1371/journal.pone.0319549,C0,digital,external,fails domain gate (no Indological/lexicographic signal),ambuda,,0,https://openalex.org/W7165517628,2026-07,2026-07-28
W7129167234,"Mentoring in Hospital Settings: A Systematic Review of Guidance, Care, and Professional Development",2026,review,Healthcare,https://doi.org/10.3390/healthcare14040505,C0,digital,external,fails domain gate (no Indological/lexicographic signal),ambuda,,2,https://openalex.org/W7129167234,2026-07,2026-07-28
W7131171021,Role of Snayu Avayava in Manya Stambha and its Applied Aspect in Relation to Posture - A Review,2026,article,International Journal for Research in Applied Science and Engineering Technology,https://doi.org/10.22214/ijraset.2026.76036,C0,print,external,fails domain gate (no Indological/lexicographic signal),mw-full,,0,https://openalex.org/W7131171021,2026-07,2026-07-28
W7154728355,Transitioning from WiFi 6 to WiFi 7: A Metrological Assessment of Human-Centric EMF Exposure and Multi-Link Operation (MLO) Dynamics,2026,article,Sensors,https://doi.org/10.3390/s26082479,C0,digital,external,fails domain gate (no Indological/lexicographic signal),ambuda,,0,https://openalex.org/W7154728355,2026-07,2026-07-28
W7165762851,Traversando il ‘continuum’. Alcune osservazioni estetiche intorno alla prosa di Adalbert Stifter,2026,article,Studia austriaca,https://doi.org/10.54103/1593-2508/31242,C0,print,external,fails domain gate (no Indological/lexicographic signal),mw-full,,0,https://openalex.org/W7165762851,2026-07,2026-07-28
W7140173287,Trends and impact of single-author publications among vascular surgeons in the UK,2026,article,Scientometrics,https://doi.org/10.1007/s11192-026-05604-2,C0,digital,external,fails domain gate (no Indological/lexicographic signal),ambuda,,0,https://openalex.org/W7140173287,2026-07,2026-07-28
W7152571590,Trends in orthopedic research: a review of female authorship in Mexican journals,2026,article,Medicina Universitaria,https://doi.org/10.24875/rmu.25000040,C0,digital,external,fails domain gate (no Indological/lexicographic signal),ambuda,,0,https://openalex.org/W7152571590,2026-07,2026-07-28
