year,type_label,count
2014,bug,13
2014,content-enhancement,16
2014,encoding,6
2014,enhancement,46
2014,link-target,1
2014,markup,13
2014,question,27
2014,text-correction,9
2015,bug,8
2015,content-enhancement,13
2015,documentation,2
2015,encoding,2
2015,enhancement,49
2015,markup,30
2015,question,6
2015,scan-quality,1
2015,text-correction,8
2016,bug,6
2016,content-enhancement,6
2016,documentation,1
2016,encoding,2
2016,enhancement,21
2016,markup,16
2016,question,20
2016,text-correction,1
2017,bug,17
2017,content-enhancement,7
2017,encoding,6
2017,enhancement,69
2017,feature,1
2017,link-target,1
2017,markup,21
2017,question,12
2017,text-correction,8
2018,bug,3
2018,content-enhancement,2
2018,documentation,1
2018,encoding,1
2018,enhancement,52
2018,question,6
2018,text-correction,2
2019,bug,25
2019,content-enhancement,5
2019,documentation,14
2019,encoding,1
2019,enhancement,67
2019,feature,1
2019,markup,7
2019,question,20
2019,tech-debt,3
2019,text-correction,88
2020,bug,17
2020,content-enhancement,36
2020,documentation,12
2020,encoding,3
2020,enhancement,67
2020,feature,4
2020,link-target,2
2020,markup,33
2020,question,20
2020,scan-quality,1
2020,tech-debt,4
2020,text-correction,295
2021,bug,58
2021,content-enhancement,26
2021,documentation,12
2021,encoding,21
2021,enhancement,91
2021,feature,2
2021,link-splitting,1
2021,link-target,4
2021,markup,43
2021,performance,2
2021,question,39
2021,scan-quality,29
2021,tech-debt,2
2021,text-correction,312
2022,bug,32
2022,content-enhancement,21
2022,documentation,10
2022,encoding,7
2022,enhancement,43
2022,feature,6
2022,link-target,16
2022,markup,23
2022,question,12
2022,scan-quality,5
2022,security,1
2022,tech-debt,1
2022,text-correction,314
2023,bug,19
2023,content-enhancement,14
2023,documentation,7
2023,encoding,5
2023,enhancement,41
2023,feature,2
2023,link-target,3
2023,markup,13
2023,question,13
2023,text-correction,438
2024,bug,19
2024,content-enhancement,13
2024,documentation,3
2024,encoding,2
2024,enhancement,34
2024,feature,2
2024,link-splitting,2
2024,link-target,8
2024,markup,22
2024,question,10
2024,scan-quality,4
2024,security,1
2024,text-correction,277
2025,bug,19
2025,content-enhancement,5
2025,documentation,21
2025,encoding,2
2025,enhancement,46
2025,feature,1
2025,link-splitting,6
2025,link-target,60
2025,markup,13
2025,question,25
2025,scan-quality,4
2025,tech-debt,2
2025,text-correction,1031
2026,bug,66
2026,content-enhancement,27
2026,documentation,24
2026,encoding,8
2026,enhancement,108
2026,feature,7
2026,infrastructure,7
2026,link-target,5
2026,markup,68
2026,performance,3
2026,question,34
2026,scan-quality,1
2026,tech-debt,3
2026,text-correction,104
