repo,login,contributions,type
ACC,gasyoun,19,User
ACC,drdhaval2785,2,User
ACC,dependabot[bot],1,Bot
AMAR,gasyoun,14,User
AMAR,drdhaval2785,5,User
AMAR,dependabot[bot],1,Bot
AP,drdhaval2785,82,User
AP,funderburkjim,49,User
AP,gasyoun,32,User
AP,dependabot[bot],7,Bot
AP90,funderburkjim,38,User
AP90,gasyoun,29,User
AP90,Andhrabharati,6,User
AP90,dependabot[bot],6,Bot
ApteES,gasyoun,41,User
ApteES,funderburkjim,21,User
ApteES,dependabot[bot],5,Bot
ArabicInSanskrit,gasyoun,5,User
ArabicInSanskrit,funderburkjim,3,User
ArabicInSanskrit,dependabot[bot],1,Bot
BEN,drdhaval2785,98,User
BEN,gasyoun,28,User
BEN,funderburkjim,20,User
BEN,AnnaRybakovaT,1,User
BEN,dependabot[bot],1,Bot
BHS,gasyoun,36,User
BHS,funderburkjim,22,User
BHS,drdhaval2785,3,User
BHS,dependabot[bot],1,Bot
BOP,gasyoun,34,User
BOP,funderburkjim,13,User
BOP,drdhaval2785,9,User
BOP,AnnaRybakovaT,2,User
BOP,dependabot[bot],1,Bot
BOR,gasyoun,28,User
BOR,drdhaval2785,12,User
BOR,dependabot[bot],1,Bot
BUR,gasyoun,28,User
BUR,funderburkjim,19,User
BUR,AnnaRybakovaT,3,User
BUR,dependabot[bot],1,Bot
CAE,gasyoun,33,User
CAE,funderburkjim,11,User
CAE,AnnaRybakovaT,7,User
CAE,dependabot[bot],1,Bot
CAE,sanskritisampada,1,User
CCS,gasyoun,31,User
CCS,funderburkjim,3,User
CCS,dependabot[bot],1,Bot
COLOGNE,drdhaval2785,108,User
COLOGNE,funderburkjim,70,User
COLOGNE,gasyoun,41,User
COLOGNE,dependabot[bot],6,Bot
COLOGNE,DmitriSKT,3,User
CORRECTIONS,funderburkjim,482,User
CORRECTIONS,drdhaval2785,182,User
CORRECTIONS,gasyoun,28,User
CORRECTIONS,AnnaRybakovaT,6,User
CORRECTIONS,dependabot[bot],1,Bot
DCS,gasyoun,28,User
DCS,dependabot[bot],5,Bot
FRI,gasyoun,25,User
FRI,dependabot[bot],5,Bot
FRI,funderburkjim,5,User
GRA,funderburkjim,46,User
GRA,gasyoun,43,User
GRA,dependabot[bot],7,Bot
GreekInSanskrit,gasyoun,11,User
GreekInSanskrit,dependabot[bot],1,Bot
GreekInSanskrit,funderburkjim,1,User
INM,gasyoun,30,User
INM,funderburkjim,7,User
INM,dependabot[bot],1,Bot
KNA,gasyoun,11,User
KNA,dependabot[bot],1,Bot
KOW,gasyoun,14,User
